id,userid,course,timeenrolled,timecompleted
1,1,1,1773723956,
2,2,1,1765703233,1772442433.0
3,3,1,1770609451,1777604251.0
4,4,1,1768193550,
5,5,1,1766251119,1768065519.0
6,6,1,1769854476,1777022076.0
7,7,1,1770214899,
8,8,1,1773220319,
9,9,1,1755197907,
10,10,1,1778745859,1782288259.0
11,11,1,1768882464,1771215264.0
12,12,1,1773491631,
13,13,1,1777922747,1780428347.0
14,14,1,1772251379,1778382179.0
15,15,1,1764441676,
16,16,1,1756938292,
17,17,1,1772088490,1776232090.0
18,18,1,1776591849,1780566249.0
19,19,1,1763159481,1764628281.0
20,20,1,1776769013,1783249013.0
21,21,1,1773499896,1780152696.0
22,22,1,1769583655,1772521255.0
23,23,1,1763041447,1767015847.0
24,24,1,1777269219,1783576419.0
25,25,1,1766860494,1767638094.0
26,26,1,1762694059,1764076459.0
27,27,1,1758399111,1759349511.0
28,28,1,1775785676,1781747276.0
29,29,1,1780503680,
30,30,1,1772421879,
31,31,1,1779206810,1780848410.0
32,32,1,1770846644,1771969844.0
33,33,1,1777864495,1782875695.0
34,34,1,1772014532,1774689332.0
35,35,1,1755165146,1758793946.0
36,36,1,1762471256,1769124056.0
37,37,1,1775076683,1775767883.0
38,38,1,1769941052,
39,39,1,1771845536,1774779536.0
40,40,1,1767010018,1767614818.0
41,41,1,1771922671,
42,42,1,1760601621,1767344421.0
43,43,1,1775590444,1778528044.0
44,44,1,1778124096,1782184896.0
45,45,1,1775443879,1781837479.0
46,46,1,1766800837,1769392837.0
47,47,1,1757316068,
48,48,1,1775828331,
49,49,1,1771290796,1772759596.0
50,50,1,1763701678,1767157678.0
51,51,1,1776014777,1780939577.0
52,52,1,1774299808,1775682208.0
53,53,1,1772306616,1773944616.0
54,54,1,1761617342,1766027342.0
55,55,1,1772066198,1774395398.0
56,56,1,1758896071,1765293271.0
57,57,1,1776010362,1777738362.0
58,58,1,1772665113,1774389513.0
59,59,1,1776812914,1779664114.0
60,60,1,1757011045,1760467045.0
61,61,1,1778770885,
62,62,1,1771209860,1775439860.0
63,63,1,1760110565,1765557365.0
64,64,1,1772907077,1774285877.0
65,65,1,1767759085,1768709485.0
66,66,1,1761373475,1763364275.0
67,67,1,1779246120,
68,68,1,1755296126,1758579326.0
69,69,1,1774295382,1779392982.0
70,70,1,1779927551,
71,71,1,1757871497,1762972697.0
72,72,1,1779202446,1784300046.0
73,73,1,1759637799,
74,74,1,1779571438,
75,75,1,1768360107,
76,76,1,1770060514,1775672914.0
77,77,1,1761506365,
78,78,1,1777327553,1782338753.0
79,79,1,1775852706,
80,80,1,1775632779,
81,81,1,1772173621,1775626021.0
82,82,1,1780408475,1782136475.0
83,83,1,1771698452,
84,84,1,1779783801,
85,85,1,1780389518,1785746318.0
86,86,1,1770773682,1773534882.0
87,87,1,1777999034,1782232634.0
88,88,1,1768024185,1771912185.0
89,89,1,1776324346,1780125946.0
90,90,1,1769122560,1773870960.0
91,91,1,1778324801,1782212801.0
92,92,1,1774109089,1776960289.0
93,93,1,1767256902,1772959302.0
94,94,1,1761761074,1764183874.0
95,95,1,1761456446,1768890446.0
96,96,1,1771411114,
97,97,1,1774673859,1777438659.0
98,98,1,1768445289,
99,99,1,1771132964,1778646164.0
100,100,1,1773936598,1778947798.0
101,101,1,1769407933,1771135933.0
102,102,1,1762441039,
103,103,1,1770075199,1776810799.0
104,104,1,1763307157,1769009557.0
105,105,1,1773491247,1778934447.0
106,106,1,1758979456,1765635856.0
107,107,1,1772676119,
108,108,1,1777760541,
109,109,1,1773160011,1779467211.0
110,110,1,1770863474,1774575074.0
111,111,1,1771689302,
112,112,1,1775703000,1780541400.0
113,113,1,1765755653,1770853253.0
114,114,1,1760426594,1765614194.0
115,115,1,1765867017,
116,116,1,1778217323,1782710123.0
117,117,1,1779241313,
118,118,1,1772885889,1779448689.0
119,119,1,1779999125,1783541525.0
120,120,1,1774668274,1779679474.0
121,1,2,1764853551,
122,2,2,1758998374,
123,3,2,1764124028,1769394428.0
124,4,2,1774359373,1779111373.0
125,5,2,1777211371,1781963371.0
126,6,2,1779455832,1780924632.0
127,7,2,1772514557,1776917357.0
128,8,2,1774207479,
129,9,2,1769078220,
130,10,2,1770534101,1776319301.0
131,11,2,1760775890,1764149090.0
132,12,2,1760747418,1762565418.0
133,13,2,1774696059,1781694459.0
134,14,2,1755894584,1760646584.0
135,15,2,1763725669,1771242469.0
136,16,2,1772468368,1779635968.0
137,17,2,1765463623,1766500423.0
138,18,2,1775592990,1781727390.0
139,19,2,1767071240,1773029240.0
140,20,2,1758407777,1764027377.0
141,21,2,1771018485,
142,22,2,1765261571,1771741571.0
143,23,2,1765201188,
144,24,2,1778158788,1781441988.0
145,25,2,1758199211,
146,26,2,1771540803,1778881203.0
147,27,2,1758613508,1762764308.0
148,28,2,1776131402,
149,29,2,1778427303,
150,30,2,1764820999,1765512199.0
151,31,2,1768999153,1774093153.0
152,32,2,1763489045,1769450645.0
153,91,2,1775258434,1780269634.0
154,92,2,1764821568,1770610368.0
155,93,2,1774322026,
156,94,2,1776358886,1780333286.0
157,95,2,1761584696,1763489096.0
158,96,2,1757242426,1759920826.0
159,97,2,1755648841,
160,98,2,1768907112,1772622312.0
161,99,2,1780640450,1785219650.0
162,100,2,1774633313,1778262113.0
163,101,2,1776380715,1778367915.0
164,102,2,1775066867,1775758067.0
165,103,2,1775587949,1778179949.0
166,104,2,1774378695,
167,105,2,1779859161,1785820761.0
168,106,2,1760512806,1762762806.0
169,107,2,1770489700,1773769300.0
170,108,2,1772663875,1780090675.0
171,109,2,1758371920,1763818720.0
172,110,2,1777187190,1784012790.0
173,111,2,1774050020,
174,112,2,1772200417,1775134417.0
175,113,2,1772982763,1779635563.0
176,114,2,1774701498,1781872698.0
177,115,2,1759431409,1763150209.0
178,116,2,1770635924,1774088324.0
179,117,2,1779793410,1782558210.0
180,118,2,1758074013,1761616413.0
181,119,2,1779830956,1783805356.0
182,120,2,1779743603,
183,33,3,1777098027,1782109227.0
184,34,3,1762038714,1763511114.0
185,35,3,1763109566,
186,36,3,1772422627,1775529427.0
187,37,3,1780234433,1781012033.0
188,38,3,1765268328,1766305128.0
189,39,3,1773379094,1778822294.0
190,40,3,1757091798,1763056998.0
191,41,3,1775804504,1779951704.0
192,42,3,1771145554,1777189954.0
193,43,3,1772033274,
194,44,3,1774843792,1778904592.0
195,45,3,1776827074,
196,46,3,1773979583,
197,47,3,1758240251,
198,48,3,1780482277,1786789477.0
199,49,3,1775102609,1776225809.0
200,50,3,1764007929,
201,51,3,1766076898,1773590098.0
202,52,3,1764603510,1771256310.0
203,53,3,1768054328,1769868728.0
204,54,3,1764481794,
205,55,3,1779031213,1785252013.0
206,56,3,1776682342,1782471142.0
207,57,3,1775155817,1782327017.0
208,58,3,1780046520,
209,59,3,1771358193,
210,60,3,1776276891,
211,61,3,1779707124,1783595124.0
212,62,3,1766258096,1768504496.0
213,91,3,1774639777,1781206177.0
214,92,3,1779762794,
215,93,3,1762038660,1766880660.0
216,94,3,1775754181,1781542981.0
217,95,3,1768875351,1771121751.0
218,96,3,1767481784,1774562984.0
219,97,3,1766260322,
220,98,3,1773787196,
221,99,3,1761995665,
222,100,3,1779271917,1784196717.0
223,101,3,1778580697,
224,102,3,1757363663,1761424463.0
225,103,3,1778924652,1785491052.0
226,104,3,1761370391,1765089191.0
227,105,3,1772321546,1773959546.0
228,106,3,1770849203,1773264803.0
229,107,3,1774204161,1775413761.0
230,108,3,1771499085,1777889085.0
231,109,3,1776843885,1779349485.0
232,110,3,1772093026,1775286226.0
233,111,3,1768733652,1772103252.0
234,112,3,1778459389,
235,113,3,1763832956,1770399356.0
236,114,3,1777592395,1784677195.0
237,115,3,1773026571,1778642571.0
238,116,3,1762199933,1768075133.0
239,117,3,1777307405,1781109005.0
240,118,3,1779319018,
241,119,3,1776534641,1777657841.0
242,120,3,1773508063,
243,1,4,1767611272,
244,2,4,1775377367,
245,3,4,1772760650,1776126650.0
246,4,4,1771621173,1773691173.0
247,5,4,1768724287,1772698687.0
248,6,4,1775365072,1777352272.0
249,7,4,1767952049,
250,8,4,1760802849,1767372849.0
251,9,4,1772790671,1776329471.0
252,10,4,1762962979,
253,11,4,1769981088,
254,12,4,1767220863,1769035263.0
255,13,4,1775698341,
256,14,4,1766003641,1770928441.0
257,15,4,1774167202,1779092002.0
258,16,4,1763589608,1767045608.0
259,17,4,1773069166,
260,18,4,1776233302,
261,19,4,1761562576,
262,20,4,1758230077,
263,21,4,1760063388,1761013788.0
264,22,4,1766725503,1773201903.0
265,23,4,1768816500,1775379300.0
266,24,4,1779286710,1784470710.0
267,25,4,1761845184,1765477584.0
268,26,4,1760670011,1763870411.0
269,27,4,1767499653,1774062453.0
270,28,4,1778334601,1781963401.0
271,29,4,1780588228,
272,30,4,1768530344,1775697944.0
273,31,4,1770053136,1772040336.0
274,32,4,1757717009,
275,33,4,1777439900,1780550300.0
276,34,4,1765895654,
277,35,4,1759728406,1763101606.0
278,36,4,1755515413,
279,37,4,1776094467,1779291267.0
280,38,4,1762150047,1764137247.0
281,39,4,1779987629,
282,40,4,1769262413,
283,41,4,1775910892,1782045292.0
284,42,4,1758373411,
285,43,4,1779381290,1783269290.0
286,44,4,1767669916,1773541516.0
287,45,4,1777398680,1782841880.0
288,46,4,1773540235,1774836235.0
