id,userid,courseid,finalgrade,timemodified
1,2,1,86.0,1772442433
2,3,1,82.4,1777604251
3,5,1,76.0,1768065519
4,6,1,73.7,1777022076
5,10,1,92.0,1782288259
6,11,1,83.8,1771215264
7,13,1,85.2,1780428347
8,14,1,87.8,1778382179
9,17,1,84.7,1776232090
10,18,1,78.2,1780566249
11,19,1,74.2,1764628281
12,20,1,91.9,1783249013
13,21,1,76.3,1780152696
14,22,1,96.2,1772521255
15,23,1,82.4,1767015847
16,24,1,83.7,1783576419
17,25,1,87.3,1767638094
18,26,1,90.4,1764076459
19,27,1,94.4,1759349511
20,28,1,77.6,1781747276
21,31,1,89.1,1780848410
22,32,1,89.5,1771969844
23,33,1,90.9,1782875695
24,34,1,76.9,1774689332
25,35,1,84.0,1758793946
26,36,1,74.5,1769124056
27,37,1,97.2,1775767883
28,39,1,94.5,1774779536
29,40,1,97.6,1767614818
30,42,1,89.2,1767344421
31,43,1,97.2,1778528044
32,44,1,73.5,1782184896
33,45,1,76.1,1781837479
34,46,1,73.8,1769392837
35,49,1,82.9,1772759596
36,50,1,77.3,1767157678
37,51,1,75.4,1780939577
38,52,1,72.2,1775682208
39,53,1,73.9,1773944616
40,54,1,94.9,1766027342
41,55,1,83.4,1774395398
42,56,1,72.2,1765293271
43,57,1,96.4,1777738362
44,58,1,91.3,1774389513
45,59,1,90.7,1779664114
46,60,1,85.1,1760467045
47,61,1,75.9,1778770885
48,62,1,92.0,1775439860
49,63,1,86.3,1765557365
50,64,1,96.6,1774285877
51,65,1,93.7,1768709485
52,66,1,73.1,1763364275
53,68,1,89.3,1758579326
54,69,1,97.3,1779392982
55,70,1,64.1,1779927551
56,71,1,72.6,1762972697
57,72,1,92.9,1784300046
58,76,1,81.1,1775672914
59,78,1,80.5,1782338753
60,79,1,76.0,1775852706
61,81,1,76.6,1775626021
62,82,1,87.5,1782136475
63,84,1,82.5,1779783801
64,85,1,72.0,1785746318
65,86,1,81.5,1773534882
66,87,1,88.2,1782232634
67,88,1,85.2,1771912185
68,89,1,86.4,1780125946
69,90,1,89.6,1773870960
70,91,1,82.6,1782212801
71,92,1,83.2,1776960289
72,93,1,83.5,1772959302
73,94,1,89.1,1764183874
74,95,1,80.7,1768890446
75,97,1,75.8,1777438659
76,99,1,87.0,1778646164
77,100,1,78.3,1778947798
78,101,1,92.2,1771135933
79,103,1,78.5,1776810799
80,104,1,89.4,1769009557
81,105,1,87.9,1778934447
82,106,1,83.6,1765635856
