id,userid,course,timeenrolled,timecompleted
1,1,1,1758010714,1767259114.0
2,2,1,1770995134,1782309934.0
3,3,1,1768583733,1787501733.0
4,4,1,1775436660,1781398260.0
5,5,1,1775545524,1800173124.0
6,6,1,1775693935,1806452335.0
7,7,1,1768795953,
8,8,1,1757267092,1763145892.0
9,9,1,1770922593,
10,10,1,1772304040,1788370840.0
11,11,1,1776136739,1801109939.0
12,12,1,1747733761,1754818561.0
13,13,1,1767836913,1775868513.0
14,14,1,1767949598,1782893198.0
15,15,1,1777785131,1789017131.0
16,16,1,1780382596,1782283396.0
17,17,1,1771875001,
18,18,1,1776753230,1787034830.0
19,19,1,1749857456,1762389056.0
20,20,1,1768037434,1796635834.0
21,21,1,1776143402,
22,22,1,1768457056,1780203856.0
23,23,1,1770083348,1775090948.0
24,24,1,1779894252,
25,25,1,1749147975,
26,26,1,1773548010,
27,27,1,1756476161,1776002561.0
28,28,1,1774096379,1803994379.0
29,29,1,1779731772,
30,30,1,1764554258,1794103058.0
31,31,1,1771772714,1785679514.0
32,32,1,1773424957,1798138957.0
33,33,1,1777673176,
34,34,1,1755801088,
35,35,1,1776084332,1800539132.0
36,36,1,1767560789,1793390789.0
37,37,1,1771159492,1801226692.0
38,38,1,1777510091,
39,39,1,1751374390,1755348790.0
40,40,1,1762176837,1766496837.0
41,41,1,1764552879,1774744479.0
42,42,1,1755184469,1776438869.0
43,43,1,1768576859,1796656859.0
44,44,1,1773836277,1791721077.0
45,45,1,1777115546,1782040346.0
46,46,1,1773032870,
47,47,1,1751878893,1776762093.0
48,48,1,1773427756,1794167356.0
49,49,1,1758248549,1778034149.0
50,50,1,1766469514,1790917114.0
51,51,1,1768213691,
52,52,1,1760922294,1789347894.0
53,53,1,1755006935,1765810535.0
54,54,1,1775217263,1787486063.0
55,55,1,1769472763,1776381163.0
56,56,1,1761012523,1764040123.0
57,57,1,1777031886,1779969486.0
58,58,1,1764590392,
59,59,1,1765938149,1791595349.0
60,60,1,1766036254,1783485454.0
61,61,1,1780454214,1804822614.0
62,62,1,1756539419,1768811819.0
63,63,1,1779721100,1809961100.0
64,64,1,1768868725,
65,65,1,1755834836,
66,66,1,1765734632,
67,67,1,1779356976,1783244976.0
68,68,1,1771803779,1774219379.0
69,69,1,1748180107,1763303707.0
70,70,1,1779687850,1798526650.0
71,71,1,1763384874,1787486874.0
72,72,1,1780370628,1783653828.0
73,73,1,1756232579,1767381779.0
74,74,1,1773640255,1779429055.0
75,75,1,1767131413,
76,76,1,1771128368,1787627168.0
77,77,1,1768134887,1773401687.0
78,78,1,1768714553,1794548153.0
79,79,1,1776962015,1793813615.0
80,80,1,1770997667,1801756067.0
81,81,1,1768901041,1782462241.0
82,82,1,1776070182,1801302582.0
83,83,1,1768814270,1785399470.0
84,84,1,1778166526,1797005326.0
85,85,1,1780194994,
86,86,1,1757004677,
87,87,1,1773899448,1797231048.0
88,88,1,1766197944,
89,89,1,1771385822,1790908622.0
90,90,1,1749575296,1760634496.0
91,91,1,1757814286,
92,92,1,1771899262,1799115262.0
93,93,1,1752478693,1767083893.0
94,94,1,1751002312,
95,95,1,1764834098,
96,96,1,1779501923,1780193123.0
97,97,1,1764543598,1782770398.0
98,98,1,1777532432,1806303632.0
99,99,1,1774713663,1787932863.0
100,100,1,1771871096,1797791096.0
101,101,1,1777652695,1802193895.0
102,102,1,1762879639,1774194439.0
103,103,1,1776657978,1800594378.0
104,104,1,1771867972,1793464372.0
105,105,1,1766475524,1793083124.0
106,106,1,1750425410,1760707010.0
107,107,1,1779976272,1785765072.0
108,108,1,1770377151,1801481151.0
109,109,1,1779332507,1784084507.0
110,110,1,1778597002,1798299802.0
111,111,1,1774799013,1796143413.0
112,112,1,1780190988,1805938188.0
113,113,1,1779358637,1804504637.0
114,114,1,1773834734,1798721534.0
115,115,1,1758934764,
116,116,1,1773362564,1793493764.0
117,117,1,1778084472,1797268872.0
118,118,1,1764737820,1769317020.0
119,119,1,1778208888,1807671288.0
120,120,1,1769364422,1776532022.0
121,121,1,1769347866,1782477066.0
122,122,1,1766367254,1786667654.0
123,123,1,1774440143,1802350943.0
124,124,1,1778865619,1784136019.0
125,125,1,1750193713,
126,126,1,1754454269,1761971069.0
127,127,1,1754272022,
128,128,1,1776539171,1797451571.0
129,129,1,1765581099,
130,130,1,1777856085,1781657685.0
131,131,1,1754031367,1780988167.0
132,132,1,1748661347,
133,133,1,1774671599,1775794799.0
134,134,1,1777393239,1779380439.0
135,135,1,1766727304,1786509304.0
136,136,1,1760378567,1788717767.0
137,137,1,1765311653,1783624853.0
138,138,1,1778645299,
139,139,1,1756849560,1769813160.0
140,140,1,1763245567,1765059967.0
141,141,1,1749814973,1767876173.0
142,142,1,1776641867,1800837467.0
143,143,1,1759784020,1787518420.0
144,144,1,1761918364,1771166764.0
145,145,1,1769284893,1800388893.0
146,146,1,1776652856,1787452856.0
147,147,1,1778756903,1796990903.0
148,148,1,1777358378,
149,149,1,1773544665,1780543065.0
150,150,1,1751761656,1764034056.0
151,151,1,1760602287,1780992687.0
152,152,1,1749877099,
153,153,1,1763134276,
154,154,1,1760372456,1778948456.0
155,155,1,1778823903,1779169503.0
156,156,1,1752138646,1781514646.0
157,157,1,1759096218,1774561818.0
158,158,1,1761569961,1775998761.0
159,159,1,1778791090,1795988290.0
160,160,1,1777210344,1798381944.0
161,161,1,1749888406,1779437206.0
162,162,1,1778894880,1780709280.0
163,163,1,1765005847,1769671447.0
164,164,1,1779717638,1800111638.0
165,165,1,1758693642,
166,166,1,1760033711,1771960511.0
167,167,1,1752959787,1767737787.0
168,168,1,1750662757,1764922357.0
169,169,1,1775309936,1799505536.0
170,170,1,1761954819,1774914819.0
171,171,1,1772723216,1777298816.0
172,172,1,1774619177,1782222377.0
173,173,1,1766794610,1769473010.0
