id,userid,courseid,finalgrade,timemodified
1,1,1,93.1,1767259114
2,2,1,97.9,1782309934
3,3,1,96.2,1787501733
4,4,1,92.0,1781398260
5,5,1,93.5,1800173124
6,6,1,97.9,1806452335
7,8,1,78.9,1763145892
8,10,1,82.6,1788370840
9,11,1,97.5,1801109939
10,12,1,98.4,1754818561
11,13,1,97.4,1775868513
12,14,1,95.2,1782893198
13,15,1,83.9,1789017131
14,16,1,96.9,1782283396
15,18,1,82.9,1787034830
16,19,1,97.0,1762389056
17,20,1,89.2,1796635834
18,22,1,81.9,1780203856
19,23,1,91.1,1775090948
20,27,1,78.0,1776002561
21,28,1,82.3,1803994379
22,30,1,96.7,1794103058
23,31,1,92.7,1785679514
24,32,1,80.8,1798138957
25,35,1,96.3,1800539132
26,36,1,91.3,1793390789
27,37,1,82.7,1801226692
28,39,1,84.2,1755348790
29,40,1,96.0,1766496837
30,41,1,95.7,1774744479
31,42,1,91.4,1776438869
32,43,1,90.7,1796656859
33,44,1,83.4,1791721077
34,45,1,95.1,1782040346
35,47,1,83.5,1776762093
36,48,1,92.7,1794167356
37,49,1,91.5,1778034149
38,50,1,87.8,1790917114
39,52,1,84.1,1789347894
40,53,1,84.0,1765810535
41,54,1,85.4,1787486063
42,55,1,83.1,1776381163
43,56,1,87.1,1764040123
44,57,1,82.6,1779969486
45,59,1,86.4,1791595349
46,60,1,96.8,1783485454
47,61,1,95.6,1804822614
48,62,1,87.6,1768811819
49,63,1,95.6,1809961100
50,67,1,92.1,1783244976
51,68,1,83.7,1774219379
52,69,1,94.7,1763303707
53,70,1,83.5,1798526650
54,71,1,79.1,1787486874
55,72,1,95.2,1783653828
56,73,1,82.4,1767381779
57,74,1,88.4,1779429055
58,76,1,81.7,1787627168
59,77,1,95.1,1773401687
60,78,1,78.6,1794548153
61,79,1,86.7,1793813615
62,80,1,96.3,1801756067
63,81,1,96.7,1782462241
64,82,1,95.2,1801302582
65,83,1,79.5,1785399470
66,84,1,96.1,1797005326
67,87,1,99.2,1797231048
68,89,1,96.2,1790908622
69,90,1,96.3,1760634496
70,92,1,92.7,1799115262
71,93,1,82.0,1767083893
72,96,1,89.4,1780193123
73,97,1,88.7,1782770398
74,98,1,93.7,1806303632
75,99,1,82.9,1787932863
76,100,1,86.1,1797791096
77,101,1,85.3,1802193895
78,102,1,83.1,1774194439
79,103,1,98.9,1800594378
80,104,1,84.1,1793464372
81,105,1,84.2,1793083124
82,106,1,85.9,1760707010
83,107,1,84.0,1785765072
84,108,1,98.8,1801481151
85,109,1,97.2,1784084507
86,110,1,85.5,1798299802
87,111,1,80.5,1796143413
88,112,1,91.8,1805938188
89,113,1,98.9,1804504637
90,114,1,94.8,1798721534
91,116,1,98.0,1793493764
92,117,1,84.7,1797268872
93,118,1,98.8,1769317020
94,119,1,79.8,1807671288
95,120,1,78.1,1776532022
96,121,1,78.7,1782477066
97,122,1,79.6,1786667654
98,123,1,91.0,1802350943
99,124,1,90.0,1784136019
100,126,1,95.4,1761971069
101,128,1,93.2,1797451571
102,130,1,91.2,1781657685
103,131,1,83.5,1780988167
104,133,1,100.0,1775794799
105,134,1,94.8,1779380439
106,135,1,98.2,1786509304
107,136,1,95.9,1788717767
108,137,1,85.3,1783624853
109,139,1,92.6,1769813160
110,140,1,88.0,1765059967
111,141,1,97.0,1767876173
112,142,1,88.2,1800837467
113,143,1,94.6,1787518420
114,144,1,83.9,1771166764
115,145,1,88.7,1800388893
116,146,1,93.6,1787452856
117,147,1,80.1,1796990903
118,149,1,89.0,1780543065
119,150,1,87.1,1764034056
120,151,1,90.1,1780992687
121,154,1,85.5,1778948456
122,155,1,84.2,1779169503
123,156,1,88.8,1781514646
124,157,1,85.3,1774561818
125,158,1,97.1,1775998761
126,159,1,83.1,1795988290
127,160,1,93.5,1798381944
128,161,1,95.4,1779437206
129,162,1,80.8,1780709280
130,163,1,97.2,1769671447
131,164,1,78.3,1800111638
132,166,1,85.4,1771960511
133,167,1,96.8,1767737787
134,168,1,91.8,1764922357
135,169,1,78.8,1799505536
136,170,1,99.9,1774914819
137,171,1,94.7,1777298816
138,172,1,93.3,1782222377
139,173,1,84.5,1769473010
140,174,1,87.1,1770917196
141,175,1,79.7,1781345156
142,176,1,88.9,1765675230
143,177,1,83.6,1779216170
144,178,1,97.8,1786507558
145,179,1,98.8,1768633671
146,180,1,93.2,1791503871
147,181,1,96.8,1770746069
148,182,1,90.6,1772360176
149,183,1,86.7,1806288372
150,186,1,95.1,1793128747
151,188,1,92.9,1786980551
152,189,1,91.8,1757734909
153,190,1,95.3,1779872844
154,191,1,80.0,1767357530
155,192,1,82.4,1773084258
156,194,1,96.3,1778597804
157,197,1,88.3,1774612982
158,198,1,96.9,1777460891
159,202,1,86.1,1784764031
160,203,1,96.1,1788941213
161,204,1,88.4,1773226627
162,206,1,79.4,1792799497
163,208,1,79.0,1770019943
164,210,1,81.0,1779279955
165,211,1,98.8,1804130629
166,212,1,97.5,1783038110
167,215,1,87.8,1789853379
168,217,1,97.8,1787057126
169,218,1,82.2,1772596994
170,220,1,92.1,1791760376
171,221,1,83.4,1795311574
172,222,1,96.3,1752293391
173,223,1,85.2,1759798856
174,226,1,95.6,1787779528
175,228,1,91.0,1775847952
176,229,1,94.3,1763348936
177,230,1,87.9,1801577147
178,231,1,89.1,1786653878
179,232,1,89.5,1791296797
180,234,1,87.4,1790113285
181,235,1,79.6,1790215860
182,236,1,80.8,1778581947
183,237,1,86.4,1784696284
184,238,1,91.3,1795179083
185,239,1,92.3,1800197863
186,240,1,87.5,1763582751
187,241,1,86.8,1792007653
188,242,1,92.6,1794023534
189,243,1,79.5,1779191290
190,244,1,94.4,1766787587
191,245,1,90.9,1763494611
192,246,1,87.0,1755359458
193,249,1,85.7,1783168178
194,250,1,88.6,1780987285
195,251,1,86.1,1802655341
196,252,1,96.6,1769187720
197,254,1,91.4,1751062846
198,255,1,82.0,1751262464
199,256,1,85.7,1788138679
200,257,1,86.8,1803371788
201,258,1,80.0,1766965279
202,259,1,85.5,1800205929
203,260,1,91.1,1790898779
204,261,1,79.1,1789845163
205,262,1,88.7,1785371905
206,263,1,80.5,1781417293
207,264,1,91.0,1799350170
208,265,1,86.7,1781926851
209,266,1,98.8,1793134449
210,267,1,85.2,1784044959
211,268,1,80.8,1788394226
212,269,1,96.3,1791871444
213,270,1,87.6,1760528616
214,271,1,90.7,1780221338
215,272,1,84.4,1772404388
216,275,1,79.9,1794559401
217,276,1,86.8,1801488823
218,278,1,79.7,1780098826
219,279,1,97.9,1775262853
220,280,1,95.9,1808558300
221,1,2,81.8,1779791412
222,2,2,81.9,1781585695
223,3,2,94.7,1787005447
224,5,2,85.1,1782550674
225,6,2,79.5,1757342254
226,7,2,91.0,1785441488
227,8,2,87.9,1785133707
228,11,2,86.5,1781779877
229,13,2,92.3,1784388453
230,14,2,99.1,1750264523
231,17,2,83.5,1761246712
232,18,2,91.4,1786585605
233,20,2,79.2,1761034167
234,21,2,80.1,1779365974
235,22,2,99.2,1778291270
236,23,2,90.8,1762761096
237,24,2,93.4,1791228685
238,25,2,84.8,1761861183
